refid,author,year,outcome,timepoint,sample size arm 1,events arm 1,sem arm 1,sd arm 1,sample size arm 2,events arm 2,sem arm 2,sd arm 2,arm 1,route arm 1,dose arm 1,location arm 1,arm 2,route arm 2,dose arm 2,location arm 2,blinding,random,stratification,sponsorhip
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 5,50,26,,,49,48,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 9,49,0,,,49,45,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 13,49,0,,,49,37,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 17,49,0,,,49,8,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 21,49,0,,,49,6,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 5,50,35,,,49,45,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 9,50,25,,,49,38,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 13,50,16,,,49,39,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 17,50,11,,,49,30,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
4860,FOI Summary NADA 141-244,2007,unhealed ulcers,day 21,50,10,,,49,31,,,tulathromycin,SC,2.5 mg/kg,non-ocular,non active,,,,no,yes,severity,yes
7606,Zielinski et al,2002,unhealed ulcers,day 21,20,16,,,19,13,,,oxytetracycline,S-CONJUNC,300 mg,ocular,non active,,,,yes,yes,severity,yes
7606,Zielinski et al,2002,unhealed ulcers,day 21,20,9,,,19,13,,,tilmicosin,SC,2.5 mg/kg,non-ocular,non active,,,,yes,yes,severity,yes
7606,Zielinski et al,2002,unhealed ulcers,day 21,21,9,,,19,13,,,tilmicosin,SC,5 mg/kg,non-ocular,non active,,,,yes,yes,severity,yes
7606,Zielinski et al,2002,unhealed ulcers,day 21,20,9,,,19,13,,,tilmicosin,SC,10 mg/kg,non-ocular,non active,,,,yes,yes,severity,yes
7606,Zielinski et al,2002,unhealed ulcers,day 21,19,8,,,19,13,,,tilmicosin,S-CONJUNC,300 mg,ocular,non active,,,,yes,yes,severity,yes
7552,Starke et al,2007,healing time,,29,14.65,2.292,12.345,27,13.45,1.671,8.683,oxytetracycline,S-CONJUNC,200 mg/2 ml,ocular,oxytetracycline,IM,20 mg/kg,non-ocular,no,yes,severity,no
7558,Senturk et al,2007,clinical score,day 3,18,2.27,0.1,0.424,18,1,0.1,0.424,non active,,,,clindamycin,S-CONJUNC,150 mg,ocular,no,yes,none,no
7558,Senturk et al,2007,clinical score,day 7,18,2.19,0.1,0.424,18,0.56,0.1,0.424,non active,,,,clindamycin,S-CONJUNC,150 mg,ocular,no,yes,none,no
7558,Senturk et al,2007,clinical score,day 15,18,1.77,0.1,0.424,18,0.23,0.1,0.424,non active,,,,clindamycin,S-CONJUNC,150 mg,ocular,no,yes,none,no
7529,"Quesada, et al.",2010,unhealed ulcers,day 7,21,13,,,20,20,,,florfenicol,TOP-OPTHALM,126 mg/bovine/week,ocular,florfenicol,IM,20 mg/kg,non-ocular,yes,yes,none,no
7529,"Quesada, et al.",2010,unhealed ulcers,day 14,21,10,,,20,13,,,florfenicol,TOP-OPTHALM,126 mg/bovine/week,ocular,florfenicol,IM,20 mg/kg,non-ocular,yes,yes,none,no
7529,"Quesada, et al.",2010,unhealed ulcers,day 21,21,6,,,20,10,,,florfenicol,TOP-OPTHALM,126 mg/bovine/week,ocular,florfenicol,IM,20 mg/kg,non-ocular,yes,yes,none,no
7604,Gokce et al,2002,healing time,,15,13.14,3.39,13.129,9,18.56,6.18,18.54,florfenicol,IM,20 mg/kg,non-ocular,oxytetracycline,IM,20 mg/kg,non-ocular,no,yes,none,no
7604,Gokce et al,2002,unhealed ulcers,day 28,15,0,,,15,6,,,florfenicol,IM,20 mg/kg,non-ocular,oxytetracycline,IM,20 mg/kg,non-ocular,no,yes,none,no
7992,George et al,1989,clinical score,day 4,20,2.3,0.157,0.7,23,1.9,0.188,0.9,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 7,20,2.1,0.157,0.7,23,1.7,0.167,0.8,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 10,20,2,0.157,0.7,23,1.5,0.167,0.8,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 13,20,2,0.201,0.9,23,1.4,0.125,0.6,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 16,20,1.9,0.179,0.8,23,1.4,0.104,0.5,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 4,20,2.3,0.157,0.7,21,1.7,0.153,0.7,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 7,20,2.1,0.157,0.7,21,1.5,0.131,0.6,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 10,20,2,0.157,0.7,21,1.5,0.131,0.6,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 13,20,2,0.201,0.9,21,1.5,0.153,0.7,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 16,20,1.9,0.179,0.8,21,1.3,0.131,0.6,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 4,8,1.8,0.247,0.7,8,2.2,0.141,0.4,cloxacillin,TOP-OPTHALM,1 dose 250 mg,ocular,cloxacillin,TOP-OPTHALM,2 doses 250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 7,8,1.7,0.247,0.7,8,1.6,0.247,0.7,cloxacillin,TOP-OPTHALM,1 dose 250 mg,ocular,cloxacillin,TOP-OPTHALM,2 doses 250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 10,8,1.9,0.389,1.1,8,1.2,0.141,0.4,cloxacillin,TOP-OPTHALM,1 dose 250 mg,ocular,cloxacillin,TOP-OPTHALM,2 doses 250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 13,8,1.7,0.389,1.1,8,1.8,0.177,0.5,cloxacillin,TOP-OPTHALM,1 dose 250 mg,ocular,cloxacillin,TOP-OPTHALM,2 doses 250 mg,ocular,yes,yes,none,no
7992,George et al,1989,clinical score,day 16,8,1.8,0.389,1.1,8,1.4,0.177,0.5,cloxacillin,TOP-OPTHALM,1 dose 250 mg,ocular,cloxacillin,TOP-OPTHALM,2 doses 250 mg,ocular,yes,yes,none,no
7702,George et al,1988,healing time,,52,11.8,1.539,11.1,52,7,0.943,6.8,non active,,,,oxytetracycline,IM,20 mg/kg,non-ocular,no,yes,severity,yes
7992,George et al,1989,healing time,,23,10.5,1.084,5.2,27,8.4,0.962,5,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,severity,no
7992,George et al,1989,healing time,,23,10.5,1.084,5.2,22,7.9,1.066,5,non active,,,,cloxacillin,TOP-OPTHALM,375 mg,ocular,yes,yes,severity,no
7992,George et al,1989,surface area,day 4,20,0.728,0.259,1.158,23,0.522,0.202,0.971,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,surface area,day 7,20,0.598,0.2,0.895,23,0.328,0.148,0.709,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,surface area,day 10,20,0.422,0.141,0.629,23,0.109,0.055,0.263,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
7992,George et al,1989,surface area,day 13,20,0.288,0.102,0.455,23,0.089,0.051,0.243,non active,,,,cloxacillin,TOP-OPTHALM,250 mg,ocular,yes,yes,none,no
