t1,t2,t3,t4,y1,y2,y3,y4,se1,se2,se3,se4,na,s,prsv,Author,rand.allo,blinding,peerRev,type
1,3,NA,NA,718.51,741.75,NA,NA,6.382037,6.207405,NA,NA,2,1,0,Dunlop,No,No,No,conference proceeding
1,3,NA,NA,649,667,NA,NA,3.058668,2.839,NA,NA,2,2,1,Fachinger,Yes,Yes,Yes,Peer reviewed Journal
1,3,NA,NA,619,650,NA,NA,3.568261,3.058509,NA,NA,2,3,1,Kixmoler,Yes,Yes,Yes,Peer reviewed Journal
1,3,NA,NA,626.68,651.37,NA,NA,5.37643,5.32096,NA,NA,2,4,0,Lising,Yes,No,No,conference proceeding
1,2,3,4,740,810,800,780,23.6988,14.2795,23.4582,19.0393,4,5,1,Lyoo,Yes,No,Yes,Peer reviewed Journal
1,3,NA,NA,689.46,712.14,NA,NA,4.127297,4.087137,NA,NA,2,6,0,Maass,No,No,No,conference proceeding
1,2,3,NA,757.5,766.57,780.18,NA,8.54,4.105567,4.51,NA,3,7,1,Payne,No,No,No,conference proceeding
1,2,NA,NA,655,721,NA,NA,14.7,15.2,NA,NA,2,8,0,Potter,Yes,Yes,Yes,Peer reviewed Journal
1,2,NA,NA,741,726,NA,NA,15.6,15.4,NA,NA,2,8,0,Potter,Yes,Yes,Yes,Peer reviewed Journal
1,2,NA,NA,738,755,NA,NA,21.1,21.4,NA,NA,2,8,0,Potter,Yes,Yes,Yes,Peer reviewed Journal
1,2,NA,NA,723,739,NA,NA,16.1,16.3,NA,NA,2,8,0,Potter,Yes,Yes,Yes,Peer reviewed Journal
1,2,NA,NA,589.67,612.35,NA,NA,8.229311,8.083,NA,NA,2,9,1,Thacker,No,No,No,conference proceeding
1,2,NA,NA,580.6,630.5,NA,NA,10,10,NA,NA,2,10,1,Venegas2011,Yes,No,Yes,Peer reviewed Journal
1,3,NA,NA,565.15,617.03,NA,NA,9.8212,9.7528,NA,NA,2,11,1,Wang,Yes,No,No,conference proceeding
1,2,4,NA,693,727,715,NA,14.2,14.1,14.1,NA,3,12,1,Jacela,Yes,No,No,swine day
1,4,NA,NA,618,636,NA,NA,4.59,4.27,NA,NA,2,13,1,Segales,Yes,Yes,Yes,Peer reviewed Journal
1,3,NA,NA,697,694,NA,NA,7.3,8.6,NA,NA,2,14,0,Eholorsson,No,No,No,conference proceeding
1,2,NA,NA,783,859,NA,NA,16.73,16.57,NA,NA,2,15,0,Horlen,Yes,Yes,Yes,Peer reviewed Journal
1,2,NA,NA,724.2,702.61,NA,NA,18.1,13.6,NA,NA,2,16,0,Venegas2010,Yes,No,No,conference proceeding
1,5,NA,NA,484.54,509.06,NA,NA,4.81,4.28,NA,NA,2,17,1,Heibenberger,Yes,Yes,Yes,Peer reviewed Journal
